Timestamp,Memo,Amount,Tx_Fee
2025-11-29 15:00:00,Deposit from checking acct,1500.0,
2025-12-12 11:00:00,Trade order executed: BUY 10 tsla,-3787.9,1.99
2024-01-10 15:00:00,Trade order executed: BUY 4 MSFT,-848.02,1.99
2025-08-03 10:00:00,Liquidated 18 units of AAPL,2146.33,0.99
2024-05-22 12:00:00,Weekly payroll deposit,1000.0,0.0
2025-11-09 12:00:00,Sold 8 shares of aapl,1327.01,1.99
2025-07-30 13:00:00,Bought 4 shares of NVDA,-693.27,4.95
2025-10-13 15:00:00,Bought 18 shares of spy,-3013.9,4.95
2025-01-19 13:00:00,Sold 4.6041 shares of BTC-USD,238875.88,4.95
2025-04-21 12:00:00,Purchased 15 units of TSLA,-4504.7,1.99
2025-04-07 11:00:00,Trade order executed: BUY 19 nvda,-8944.3,
2025-02-17 10:00:00,Sold 7 shares of AAPL,1792.45,1.99
2024-02-18 15:00:00,Market order fill: SELL 12 SPY,3217.98,4.95
2024-12-23 15:00:00,Trade order executed: BUY 5 MSFT,-917.82,0.99
2025-12-05 15:00:00,Sold 16 shares of AAPL,6734.61,0.99
2024-07-12 11:00:00,Trade order executed: BUY 3 NVDA,-955.43,
2024-11-06 14:00:00,Bought 8 shares of SPY,-3029.35,0.99
2026-03-26 16:00:00,Liquidated 9.4005 units of btc-usd,533197.06,4.95
2025-10-27 9:00:00,Weekly payroll deposit,1500.0,0.0
2024-06-19 9:00:00,Liquidated 18 units of TSLA,4935.0,4.95
2025-07-05 15:00:00,Sold 17 shares of msft,2000.28,1.99
2025-06-30 16:00:00,Bought 5 shares of nvda,-486.62,0.0
2024-11-28 9:00:00,Purchased 3 units of msft,-683.17,
2024-09-17 12:00:00,Purchased 16 units of tsla,-4676.46,4.95
2025-04-13 13:00:00,Purchased 0.4398 units of BTC-USD,-13318.73,0.99
2024-09-20 15:00:00,Trade order executed: BUY 10 nvda,-4569.83,4.95
2026-05-01 15:00:00,Weekly payroll deposit,1000.0,0.0
2026-01-08 12:00:00,Bought 16 shares of spy,-7716.27,1.99
2025-10-06 10:00:00,Purchased 13.5378 units of btc-usd,-651945.03,0.99
2025-07-13 12:00:00,Purchased 1 units of tsla,-223.31,4.95
2026-04-26 9:00:00,Purchased 5.4277 units of BTC-USD,-273918.62,0.0
2025-12-26 16:00:00,Purchased 12 units of AAPL,-4827.73,0.0
2025-02-03 12:00:00,Purchased 8 units of NVDA,-1907.41,0.99
2024-05-27 14:00:00,Market order fill: SELL 8 AAPL,200.92,0.99
2024-03-27 14:00:00,Trade order executed: BUY 12 NVDA,-3288.41,4.95
2026-04-02 10:00:00,Sold 5 shares of TSLA,2046.54,0.99
2024-06-22 12:00:00,Weekly payroll deposit,1000.0,
2025-08-11 14:00:00,Bought 14 shares of aapl,-1059.55,
2024-02-04 13:00:00,Purchased 9 units of TSLA,-4258.0,0.99
2026-03-08 10:00:00,Bought 14 shares of MSFT,-228.72,1.99
2025-05-30 11:00:00,Bought 10 shares of AAPL,-2849.74,1.99
2026-01-14 16:00:00,Purchased 4 units of msft,-179.96,0.99
2025-02-12 11:00:00,Purchased 8 units of NVDA,-748.09,0.99
2026-04-21 14:00:00,Trade order executed: BUY 19 AAPL,-8225.61,0.99
2024-07-05 16:00:00,Purchased 13 units of TSLA,-1993.57,0.99
2025-06-10 16:00:00,Deposit from checking acct,1500.0,0.0
2024-10-09 16:00:00,Bought 4 shares of nvda,-1190.98,
2025-07-28 11:00:00,Sold 13 shares of MSFT,5798.79,0.99
2025-02-01 11:00:00,Trade order executed: BUY 7 MSFT,-1184.78,
2024-10-15 11:00:00,Deposit from checking acct,2500.0,0.0
2025-03-08 10:00:00,Sold 12 shares of MSFT,1661.69,
2024-12-13 9:00:00,Bought 8.9396 shares of BTC-USD,-562764.63,
2024-12-28 10:00:00,Bought 8 shares of SPY,-1128.54,0.0
2025-03-29 9:00:00,Trade order executed: BUY 18 nvda,-2384.5,1.99
2026-01-24 10:00:00,Sold 5.1268 shares of btc-usd,222560.8,0.99
2025-03-25 16:00:00,ACH TRANSFER FROM BANK,1000.0,0.0
2025-04-16 12:00:00,Trade order executed: BUY 15 msft,-3517.15,0.99
2025-05-24 10:00:00,Deposit from checking acct,1500.0,0.0
2024-04-03 14:00:00,Trade order executed: BUY 4 AAPL,-1286.88,0.99
2026-04-09 12:00:00,Trade order executed: BUY 4 SPY,-428.81,0.0
2025-10-04 12:00:00,Trade order executed: BUY 1 spy,-490.74,4.95
2025-11-16 16:00:00,Purchased 14 units of spy,-3519.75,0.99
2026-03-15 11:00:00,Trade order executed: BUY 12 AAPL,-2314.5,
2025-12-03 12:00:00,Deposit from checking acct,500.0,0.0
2024-11-19 11:00:00,Market order fill: SELL 2 tsla,850.18,
2026-05-14 13:00:00,Purchased 12 units of TSLA,-1755.66,1.99
2025-03-23 12:00:00,Trade order executed: BUY 11 spy,-2172.6,1.99
2024-11-22 15:00:00,Purchased 4.8207 units of BTC-USD,-217409.24,
2026-04-16 13:00:00,ACH TRANSFER FROM BANK,500.0,
2024-04-17 10:00:00,Weekly payroll deposit,2500.0,0.0
2024-04-23 14:00:00,Market order fill: SELL 19 aapl,630.87,
2024-11-30 13:00:00,Trade order executed: BUY 7 AAPL,-3073.18,0.99
2025-01-16 12:00:00,Bought 17 shares of tsla,-1947.3,4.95
2025-01-02 11:00:00,Purchased 13 units of NVDA,-2963.65,1.99
2026-01-21 13:00:00,Bought 18 shares of msft,-5827.91,0.0
2024-01-08 14:00:00,Trade order executed: BUY 15 SPY,-3584.78,0.99
2026-05-19 14:00:00,ACH TRANSFER FROM BANK,1000.0,0.0
2025-11-18 9:00:00,Purchased 4 units of SPY,-181.12,0.99
2025-05-15 10:00:00,Bought 0.3045 shares of btc-usd,-20300.81,1.99
2024-02-28 16:00:00,Bought 17 shares of NVDA,-2087.17,0.99
2024-06-06 9:00:00,Trade order executed: BUY 9 nvda,-2283.6,1.99
2024-11-10 9:00:00,Market order fill: SELL 9 MSFT,2427.88,0.99
2026-02-21 11:00:00,Bought 3 shares of spy,-480.97,
2024-09-06 15:00:00,Sold 7 shares of SPY,2471.27,1.99
2025-10-15 10:00:00,Trade order executed: BUY 6 SPY,-1359.14,1.99
2025-06-05 11:00:00,Sold 13 shares of MSFT,3224.94,
2026-05-26 16:00:00,Purchased 12 units of aapl,-3664.75,1.99
2025-04-29 13:00:00,Liquidated 10.4941 units of btc-usd,350972.53,1.99
2024-11-01 14:00:00,Market order fill: SELL 10.1535 btc-usd,503156.1,1.99
2025-06-21 12:00:00,Purchased 3 units of msft,-1419.61,1.99
2024-06-26 12:00:00,Purchased 1 units of aapl,-338.38,
2024-07-01 11:00:00,Bought 8 shares of msft,-275.07,
2025-06-19 9:00:00,Purchased 7 units of SPY,-320.37,1.99
2024-07-31 10:00:00,Trade order executed: BUY 5 MSFT,-555.88,1.99
2024-05-09 16:00:00,Purchased 2 units of AAPL,-357.21,1.99
2025-04-04 11:00:00,Trade order executed: BUY 1 NVDA,-328.77,0.0
2025-08-07 11:00:00,Market order fill: SELL 10 aapl,271.52,1.99
2025-02-20 13:00:00,Trade order executed: BUY 19 spy,-6203.03,
2024-07-20 10:00:00,Trade order executed: BUY 17 aapl,-5443.69,0.0
2024-09-01 9:00:00,Bought 10.6971 shares of btc-usd,-491160.85,1.99
2025-09-07 9:00:00,Trade order executed: BUY 2.4679 BTC-USD,-143723.71,
2025-09-23 14:00:00,Bought 3.8141 shares of BTC-USD,-197346.84,1.99
2024-02-16 9:00:00,ACH TRANSFER FROM BANK,500.0,
2025-07-08 15:00:00,Purchased 12 units of spy,-5198.64,0.99
2025-08-17 16:00:00,Liquidated 4 units of MSFT,1716.84,1.99
2025-08-27 11:00:00,Purchased 5 units of NVDA,-1277.76,0.0
2024-09-09 9:00:00,Bought 5 shares of AAPL,-973.16,0.0
2024-12-02 14:00:00,Bought 11 shares of tsla,-3506.18,0.99
2025-03-11 14:00:00,Trade order executed: BUY 14.3911 btc-usd,-534280.75,0.99
2025-09-02 16:00:00,Purchased 10 units of TSLA,-4238.62,1.99
2026-03-04 13:00:00,Sold 16 shares of TSLA,1625.41,0.99
2024-03-29 14:00:00,Purchased 7 units of aapl,-539.34,
2026-01-30 13:00:00,Trade order executed: BUY 11 NVDA,-4939.53,
2025-01-26 15:00:00,Trade order executed: BUY 12 TSLA,-2464.18,
2024-04-08 14:00:00,ACH TRANSFER FROM BANK,500.0,
2025-08-22 9:00:00,Trade order executed: BUY 7 AAPL,-1957.73,1.99
2025-10-23 15:00:00,Trade order executed: BUY 4 AAPL,-359.48,1.99
2024-02-10 9:00:00,Purchased 11 units of spy,-2521.74,
2024-10-05 12:00:00,Trade order executed: BUY 1 SPY,-108.67,0.99
2024-07-18 13:00:00,Bought 1 shares of nvda,-165.85,
2024-12-20 9:00:00,Bought 16 shares of spy,-6562.11,
2025-05-05 11:00:00,Sold 3 shares of AAPL,298.62,0.99
2025-01-09 16:00:00,Market order fill: SELL 19 AAPL,5743.56,1.99
2026-02-09 10:00:00,ACH TRANSFER FROM BANK,1500.0,0.0
2025-07-03 9:00:00,Market order fill: SELL 12 aapl,3871.32,
2025-06-16 11:00:00,Weekly payroll deposit,1500.0,0.0
2024-12-06 9:00:00,Liquidated 15 units of nvda,657.1,0.0
2026-03-22 12:00:00,Bought 7 shares of spy,-2725.49,0.99
2024-01-16 9:00:00,Bought 13 shares of nvda,-6203.31,
2024-01-30 10:00:00,Weekly payroll deposit,1000.0,0.0
2025-07-24 14:00:00,Purchased 5 units of MSFT,-894.58,1.99
2024-02-25 10:00:00,Market order fill: SELL 2.8964 BTC-USD,140649.86,4.95
2024-07-27 10:00:00,Trade order executed: BUY 10 NVDA,-1694.93,1.99
2025-11-04 14:00:00,Bought 5.7867 shares of BTC-USD,-307478.47,0.99
2025-06-12 13:00:00,Purchased 7 units of SPY,-727.76,
2025-11-20 9:00:00,Purchased 8 units of TSLA,-3240.17,
2024-08-07 12:00:00,Bought 4 shares of aapl,-1385.02,
2024-05-16 11:00:00,Liquidated 15 units of spy,964.39,1.99
2025-02-06 13:00:00,Weekly payroll deposit,500.0,
2025-01-29 12:00:00,Liquidated 7 units of tsla,2418.37,4.95
2024-12-04 16:00:00,Market order fill: SELL 8 SPY,597.34,0.0
2024-03-08 9:00:00,Trade order executed: BUY 9 spy,-1676.18,
2025-03-05 15:00:00,Bought 12 shares of SPY,-1803.9,0.99
2026-03-01 13:00:00,Weekly payroll deposit,1500.0,0.0
2026-05-08 16:00:00,Trade order executed: BUY 10 nvda,-2009.52,1.99
2025-09-29 15:00:00,Bought 17 shares of TSLA,-3930.3,
2024-11-04 10:00:00,Purchased 9 units of MSFT,-1466.67,1.99
2024-05-30 14:00:00,Purchased 1 units of SPY,-93.06,
2024-09-04 14:00:00,Trade order executed: BUY 6.0365 BTC-USD,-392121.06,0.99
2026-01-17 16:00:00,Liquidated 2 units of TSLA,196.9,
2024-01-23 16:00:00,Sold 17 shares of NVDA,8192.47,0.0
2025-09-15 12:00:00,Bought 3 shares of nvda,-1177.61,0.99
2025-09-11 10:00:00,Bought 16 shares of NVDA,-1805.19,
2024-06-15 13:00:00,Liquidated 10.8615 units of BTC-USD,566791.37,0.99
2024-03-05 13:00:00,Trade order executed: BUY 18 AAPL,-3040.61,0.99
2025-03-01 11:00:00,Trade order executed: BUY 12 AAPL,-3221.75,0.0
2024-10-27 12:00:00,Trade order executed: BUY 6.9319 BTC-USD,-244938.28,0.99
2024-03-23 16:00:00,Trade order executed: BUY 1 TSLA,-275.69,4.95
2025-05-22 9:00:00,Trade order executed: BUY 7 SPY,-959.08,0.99
2025-05-12 14:00:00,Deposit from checking acct,500.0,0.0
2025-03-17 10:00:00,Trade order executed: BUY 4 MSFT,-401.48,1.99
2024-01-06 14:00:00,Market order fill: SELL 10 msft,4215.05,0.99
2025-09-17 14:00:00,Liquidated 18 units of aapl,8331.0,1.99
2025-06-25 14:00:00,Bought 8 shares of SPY,-2560.2,0.0
2024-03-12 10:00:00,Trade order executed: BUY 6 NVDA,-2425.42,4.95
2025-11-11 14:00:00,Trade order executed: BUY 17 nvda,-7529.57,0.99
